00000000) perceptual - 227.09537; gen_gan - 3.85486; feature_matching - 12.96188; equivariance_value - 1.14218; equivariance_jacobian - 0.77758; disc_gan - 7.50982
00000001) perceptual - 191.42355; gen_gan - 0.39180; feature_matching - 9.60254; equivariance_value - 0.92544; equivariance_jacobian - 0.73866; disc_gan - 0.65104
00000002) perceptual - 180.44347; gen_gan - 0.32221; feature_matching - 8.89329; equivariance_value - 0.82616; equivariance_jacobian - 0.72072; disc_gan - 0.57474
00000003) perceptual - 170.63391; gen_gan - 0.30104; feature_matching - 7.93490; equivariance_value - 0.78656; equivariance_jacobian - 0.74681; disc_gan - 0.55977
00000004) perceptual - 173.98314; gen_gan - 0.29230; feature_matching - 8.32865; equivariance_value - 0.75598; equivariance_jacobian - 0.72270; disc_gan - 0.55593
00000005) perceptual - 165.78793; gen_gan - 0.28451; feature_matching - 7.81479; equivariance_value - 0.88186; equivariance_jacobian - 2.26396; disc_gan - 0.54761
00000006) perceptual - 169.54312; gen_gan - 0.28992; feature_matching - 8.08478; equivariance_value - 0.93094; equivariance_jacobian - 0.89180; disc_gan - 0.55891
00000007) perceptual - 164.60599; gen_gan - 0.28096; feature_matching - 7.89943; equivariance_value - 0.91330; equivariance_jacobian - 0.80770; disc_gan - 0.53534
00000008) perceptual - 160.51933; gen_gan - 0.27391; feature_matching - 7.74928; equivariance_value - 0.86170; equivariance_jacobian - 0.86867; disc_gan - 0.52508
00000009) perceptual - 158.05241; gen_gan - 0.30217; feature_matching - 7.67528; equivariance_value - 0.89059; equivariance_jacobian - 0.84729; disc_gan - 0.57798
00000010) perceptual - 156.84248; gen_gan - 0.28260; feature_matching - 7.45631; equivariance_value - 0.85107; equivariance_jacobian - 0.81815; disc_gan - 0.54381
00000011) perceptual - 154.63643; gen_gan - 0.27093; feature_matching - 7.20599; equivariance_value - 0.84842; equivariance_jacobian - 0.80731; disc_gan - 0.51706
00000012) perceptual - 159.07648; gen_gan - 0.27178; feature_matching - 7.36832; equivariance_value - 0.79787; equivariance_jacobian - 0.82459; disc_gan - 0.51120
00000013) perceptual - 153.98952; gen_gan - 0.26845; feature_matching - 7.24629; equivariance_value - 0.82827; equivariance_jacobian - 0.81095; disc_gan - 0.51087
00000014) perceptual - 157.62549; gen_gan - 0.26766; feature_matching - 7.43954; equivariance_value - 0.83695; equivariance_jacobian - 0.96147; disc_gan - 0.50643
00000015) perceptual - 147.82182; gen_gan - 0.27247; feature_matching - 6.89367; equivariance_value - 0.84229; equivariance_jacobian - 0.97775; disc_gan - 0.51730
00000016) perceptual - 147.16609; gen_gan - 0.27997; feature_matching - 6.86345; equivariance_value - 0.85686; equivariance_jacobian - 0.90193; disc_gan - 0.52844
00000017) perceptual - 150.81786; gen_gan - 0.27152; feature_matching - 6.92342; equivariance_value - 0.85473; equivariance_jacobian - 1.04535; disc_gan - 0.50782
00000018) perceptual - 151.79541; gen_gan - 0.26968; feature_matching - 7.22937; equivariance_value - 0.96078; equivariance_jacobian - 0.97421; disc_gan - 0.51092
00000019) perceptual - 151.26851; gen_gan - 0.27108; feature_matching - 6.99886; equivariance_value - 0.96977; equivariance_jacobian - 0.94851; disc_gan - 0.50852
00000020) perceptual - 148.32005; gen_gan - 0.27759; feature_matching - 6.77582; equivariance_value - 0.89593; equivariance_jacobian - 1.02370; disc_gan - 0.52194
00000021) perceptual - 151.25510; gen_gan - 0.27381; feature_matching - 7.26030; equivariance_value - 1.00019; equivariance_jacobian - 0.91391; disc_gan - 0.51024
00000022) perceptual - 142.84846; gen_gan - 0.27379; feature_matching - 6.59553; equivariance_value - 0.99169; equivariance_jacobian - 0.88478; disc_gan - 0.50428
00000023) perceptual - 154.91722; gen_gan - 0.27618; feature_matching - 7.31618; equivariance_value - 1.11552; equivariance_jacobian - 0.89504; disc_gan - 0.51373
00000024) perceptual - 148.72827; gen_gan - 0.27270; feature_matching - 6.97054; equivariance_value - 0.94110; equivariance_jacobian - 1.15997; disc_gan - 0.50594
00000025) perceptual - 146.08737; gen_gan - 0.34605; feature_matching - 6.71454; equivariance_value - 1.00083; equivariance_jacobian - 0.99287; disc_gan - 0.65377
00000026) perceptual - 141.87868; gen_gan - 0.28073; feature_matching - 6.72880; equivariance_value - 0.97820; equivariance_jacobian - 0.93706; disc_gan - 0.52371
00000027) perceptual - 141.06441; gen_gan - 0.26896; feature_matching - 6.55156; equivariance_value - 0.91188; equivariance_jacobian - 0.95974; disc_gan - 0.49642
00000028) perceptual - 140.71457; gen_gan - 0.26819; feature_matching - 6.23578; equivariance_value - 1.02553; equivariance_jacobian - 0.92940; disc_gan - 0.49517
00000029) perceptual - 140.20981; gen_gan - 0.26654; feature_matching - 6.40627; equivariance_value - 0.99260; equivariance_jacobian - 1.00345; disc_gan - 0.49509
00000030) perceptual - 142.18764; gen_gan - 0.26972; feature_matching - 6.43405; equivariance_value - 0.97155; equivariance_jacobian - 0.94609; disc_gan - 0.49422
00000031) perceptual - 138.34680; gen_gan - 0.26762; feature_matching - 6.25700; equivariance_value - 1.01529; equivariance_jacobian - 0.96692; disc_gan - 0.49177
