00000000) perceptual - 214.81953; gen_gan - 3.68662; feature_matching - 13.60868; equivariance_value - 1.06090; equivariance_jacobian - 0.78930; disc_gan - 6.57854
00000001) perceptual - 174.82001; gen_gan - 0.61909; feature_matching - 8.94496; equivariance_value - 0.87117; equivariance_jacobian - 0.79271; disc_gan - 0.73754
00000002) perceptual - 171.58633; gen_gan - 0.43060; feature_matching - 8.81997; equivariance_value - 0.76038; equivariance_jacobian - 0.73389; disc_gan - 0.58651
00000003) perceptual - 164.03745; gen_gan - 0.33820; feature_matching - 8.13112; equivariance_value - 0.79250; equivariance_jacobian - 0.75536; disc_gan - 0.54924
00000004) perceptual - 159.72908; gen_gan - 0.29813; feature_matching - 8.21413; equivariance_value - 0.85071; equivariance_jacobian - 0.78726; disc_gan - 0.53414
00000005) perceptual - 156.03639; gen_gan - 0.28468; feature_matching - 7.66424; equivariance_value - 0.80571; equivariance_jacobian - 0.80337; disc_gan - 0.52996
00000006) perceptual - 162.59937; gen_gan - 0.28095; feature_matching - 8.24433; equivariance_value - 0.84069; equivariance_jacobian - 0.80846; disc_gan - 0.52861
00000007) perceptual - 157.51779; gen_gan - 0.27342; feature_matching - 8.08156; equivariance_value - 0.92946; equivariance_jacobian - 1.08164; disc_gan - 0.51583
00000008) perceptual - 155.65456; gen_gan - 0.26606; feature_matching - 7.78638; equivariance_value - 0.89073; equivariance_jacobian - 0.90149; disc_gan - 0.51412
00000009) perceptual - 152.35815; gen_gan - 0.26954; feature_matching - 7.34270; equivariance_value - 0.76754; equivariance_jacobian - 0.77581; disc_gan - 0.51301
00000010) perceptual - 154.68719; gen_gan - 0.28260; feature_matching - 7.74703; equivariance_value - 0.74397; equivariance_jacobian - 0.77610; disc_gan - 0.53949
00000011) perceptual - 146.39874; gen_gan - 0.27098; feature_matching - 7.14124; equivariance_value - 0.79568; equivariance_jacobian - 0.84095; disc_gan - 0.51944
00000012) perceptual - 145.89247; gen_gan - 0.26704; feature_matching - 7.12778; equivariance_value - 0.82118; equivariance_jacobian - 0.81834; disc_gan - 0.50591
00000013) perceptual - 152.94099; gen_gan - 0.26427; feature_matching - 7.51959; equivariance_value - 0.75449; equivariance_jacobian - 0.83624; disc_gan - 0.50550
00000014) perceptual - 145.37912; gen_gan - 0.26499; feature_matching - 7.15410; equivariance_value - 0.65528; equivariance_jacobian - 0.75795; disc_gan - 0.50676
00000015) perceptual - 144.48854; gen_gan - 0.26678; feature_matching - 7.18667; equivariance_value - 0.63628; equivariance_jacobian - 0.81446; disc_gan - 0.50071
00000016) perceptual - 145.34503; gen_gan - 0.26689; feature_matching - 7.06742; equivariance_value - 0.62209; equivariance_jacobian - 0.79513; disc_gan - 0.50768
00000017) perceptual - 142.56625; gen_gan - 0.28401; feature_matching - 6.93336; equivariance_value - 0.64838; equivariance_jacobian - 0.78100; disc_gan - 0.53387
00000018) perceptual - 142.44714; gen_gan - 0.26504; feature_matching - 6.87849; equivariance_value - 0.65526; equivariance_jacobian - 0.76552; disc_gan - 0.49956
00000019) perceptual - 140.84232; gen_gan - 0.26583; feature_matching - 6.70000; equivariance_value - 0.66337; equivariance_jacobian - 0.72483; disc_gan - 0.49976
00000020) perceptual - 141.64566; gen_gan - 0.26588; feature_matching - 6.75984; equivariance_value - 0.67550; equivariance_jacobian - 0.78288; disc_gan - 0.49884
00000021) perceptual - 138.57588; gen_gan - 0.26876; feature_matching - 6.60418; equivariance_value - 0.64803; equivariance_jacobian - 0.72055; disc_gan - 0.50878
00000022) perceptual - 142.65340; gen_gan - 0.27564; feature_matching - 7.14273; equivariance_value - 0.63123; equivariance_jacobian - 0.72842; disc_gan - 0.51272
00000023) perceptual - 138.83165; gen_gan - 0.27108; feature_matching - 6.70594; equivariance_value - 0.62933; equivariance_jacobian - 0.71658; disc_gan - 0.50950
00000024) perceptual - 139.58006; gen_gan - 0.26704; feature_matching - 6.58283; equivariance_value - 0.62611; equivariance_jacobian - 0.68769; disc_gan - 0.49674
00000025) perceptual - 136.66988; gen_gan - 0.27015; feature_matching - 6.41934; equivariance_value - 0.63119; equivariance_jacobian - 0.72294; disc_gan - 0.49877
00000026) perceptual - 136.64513; gen_gan - 0.26429; feature_matching - 6.64850; equivariance_value - 0.56100; equivariance_jacobian - 0.66512; disc_gan - 0.49758
00000027) perceptual - 139.13205; gen_gan - 0.28352; feature_matching - 6.92392; equivariance_value - 0.62728; equivariance_jacobian - 0.74500; disc_gan - 0.51676
00000028) perceptual - 135.55681; gen_gan - 0.27502; feature_matching - 6.66912; equivariance_value - 0.54826; equivariance_jacobian - 0.71143; disc_gan - 0.50842
00000029) perceptual - 134.95345; gen_gan - 0.26762; feature_matching - 6.56691; equivariance_value - 0.52722; equivariance_jacobian - 0.68050; disc_gan - 0.49127
00000030) perceptual - 136.90366; gen_gan - 0.26497; feature_matching - 6.69113; equivariance_value - 0.60713; equivariance_jacobian - 0.69529; disc_gan - 0.49210
00000031) perceptual - 134.11508; gen_gan - 0.27646; feature_matching - 6.46489; equivariance_value - 0.55691; equivariance_jacobian - 0.72961; disc_gan - 0.50190
00000032) perceptual - 138.40627; gen_gan - 0.27512; feature_matching - 7.10303; equivariance_value - 0.57582; equivariance_jacobian - 0.74101; disc_gan - 0.50087
00000033) perceptual - 135.80510; gen_gan - 0.27727; feature_matching - 6.76770; equivariance_value - 0.58666; equivariance_jacobian - 0.79120; disc_gan - 0.50771
00000034) perceptual - 134.02695; gen_gan - 0.27437; feature_matching - 6.64271; equivariance_value - 0.76609; equivariance_jacobian - 0.88985; disc_gan - 0.49886
00000035) perceptual - 131.96040; gen_gan - 0.26775; feature_matching - 6.41187; equivariance_value - 0.79272; equivariance_jacobian - 0.85521; disc_gan - 0.49450
00000036) perceptual - 136.07803; gen_gan - 0.27551; feature_matching - 6.73496; equivariance_value - 0.82631; equivariance_jacobian - 0.87102; disc_gan - 0.48976
00000037) perceptual - 133.46089; gen_gan - 0.28523; feature_matching - 6.52453; equivariance_value - 0.75844; equivariance_jacobian - 0.79492; disc_gan - 0.52379
00000038) perceptual - 132.74374; gen_gan - 0.28351; feature_matching - 6.55898; equivariance_value - 0.72689; equivariance_jacobian - 0.83263; disc_gan - 0.51679
00000039) perceptual - 132.95770; gen_gan - 0.27025; feature_matching - 6.54549; equivariance_value - 0.65116; equivariance_jacobian - 0.79162; disc_gan - 0.48527
