00000000) perceptual - 221.40282; gen_gan - 4.36735; feature_matching - 12.73285; equivariance_value - 0.95938; equivariance_jacobian - 0.73830; disc_gan - 7.72336
00000001) perceptual - 187.70456; gen_gan - 0.52628; feature_matching - 9.13011; equivariance_value - 0.76550; equivariance_jacobian - 0.69452; disc_gan - 0.68278
00000002) perceptual - 177.86613; gen_gan - 0.38858; feature_matching - 8.67056; equivariance_value - 0.76509; equivariance_jacobian - 0.72638; disc_gan - 0.58785
00000003) perceptual - 168.58386; gen_gan - 0.32267; feature_matching - 8.20896; equivariance_value - 0.80246; equivariance_jacobian - 0.74137; disc_gan - 0.55789
00000004) perceptual - 169.88535; gen_gan - 0.29869; feature_matching - 8.36533; equivariance_value - 0.71449; equivariance_jacobian - 0.75567; disc_gan - 0.54677
00000005) perceptual - 164.19060; gen_gan - 0.29464; feature_matching - 8.01379; equivariance_value - 0.66786; equivariance_jacobian - 0.71333; disc_gan - 0.55119
00000006) perceptual - 164.67125; gen_gan - 0.32042; feature_matching - 8.00329; equivariance_value - 0.62320; equivariance_jacobian - 0.66423; disc_gan - 0.60296
00000007) perceptual - 162.03714; gen_gan - 0.27917; feature_matching - 7.90601; equivariance_value - 0.59883; equivariance_jacobian - 0.66384; disc_gan - 0.52636
00000008) perceptual - 157.58437; gen_gan - 0.27757; feature_matching - 7.54624; equivariance_value - 0.58512; equivariance_jacobian - 0.66361; disc_gan - 0.52060
00000009) perceptual - 157.43587; gen_gan - 0.27400; feature_matching - 7.57732; equivariance_value - 0.57096; equivariance_jacobian - 0.68884; disc_gan - 0.51995
00000010) perceptual - 154.97099; gen_gan - 0.27508; feature_matching - 7.52394; equivariance_value - 0.52519; equivariance_jacobian - 0.66438; disc_gan - 0.51618
00000011) perceptual - 154.68521; gen_gan - 0.27248; feature_matching - 7.25060; equivariance_value - 0.62497; equivariance_jacobian - 0.70330; disc_gan - 0.51285
00000012) perceptual - 149.20433; gen_gan - 0.27215; feature_matching - 7.05465; equivariance_value - 0.56294; equivariance_jacobian - 0.67530; disc_gan - 0.51304
00000013) perceptual - 153.43320; gen_gan - 0.28340; feature_matching - 7.42520; equivariance_value - 0.54789; equivariance_jacobian - 0.73035; disc_gan - 0.53408
00000014) perceptual - 151.34386; gen_gan - 0.28657; feature_matching - 7.06174; equivariance_value - 0.55139; equivariance_jacobian - 0.70816; disc_gan - 0.53450
00000015) perceptual - 150.43826; gen_gan - 0.27642; feature_matching - 7.03500; equivariance_value - 0.61368; equivariance_jacobian - 0.72157; disc_gan - 0.51488
00000016) perceptual - 149.74495; gen_gan - 0.27331; feature_matching - 7.20619; equivariance_value - 0.62818; equivariance_jacobian - 0.71912; disc_gan - 0.50826
00000017) perceptual - 151.11516; gen_gan - 0.27793; feature_matching - 7.25354; equivariance_value - 0.59795; equivariance_jacobian - 0.74636; disc_gan - 0.51824
00000018) perceptual - 148.35983; gen_gan - 0.27289; feature_matching - 7.03825; equivariance_value - 0.55010; equivariance_jacobian - 0.71831; disc_gan - 0.50873
00000019) perceptual - 147.69827; gen_gan - 0.28477; feature_matching - 7.00230; equivariance_value - 0.57217; equivariance_jacobian - 0.72402; disc_gan - 0.52541
00000020) perceptual - 147.55283; gen_gan - 0.27943; feature_matching - 6.95824; equivariance_value - 0.50855; equivariance_jacobian - 0.69689; disc_gan - 0.51353
00000021) perceptual - 149.32957; gen_gan - 0.27851; feature_matching - 6.98995; equivariance_value - 0.52308; equivariance_jacobian - 0.73827; disc_gan - 0.51192
00000022) perceptual - 150.38202; gen_gan - 0.26993; feature_matching - 7.12597; equivariance_value - 0.51219; equivariance_jacobian - 0.66612; disc_gan - 0.50326
00000023) perceptual - 146.35954; gen_gan - 0.28087; feature_matching - 6.87615; equivariance_value - 0.57330; equivariance_jacobian - 0.68941; disc_gan - 0.51607
00000024) perceptual - 142.98003; gen_gan - 0.27857; feature_matching - 6.71798; equivariance_value - 0.48847; equivariance_jacobian - 0.68404; disc_gan - 0.51130
00000025) perceptual - 146.57532; gen_gan - 0.27654; feature_matching - 6.86543; equivariance_value - 0.51629; equivariance_jacobian - 0.74235; disc_gan - 0.50446
00000026) perceptual - 142.68335; gen_gan - 0.27259; feature_matching - 6.66264; equivariance_value - 0.47003; equivariance_jacobian - 0.69766; disc_gan - 0.50262
00000027) perceptual - 145.66196; gen_gan - 0.27547; feature_matching - 6.89076; equivariance_value - 0.49437; equivariance_jacobian - 0.67383; disc_gan - 0.50157
00000028) perceptual - 142.29160; gen_gan - 0.27230; feature_matching - 6.68509; equivariance_value - 0.47579; equivariance_jacobian - 0.67852; disc_gan - 0.49801
00000029) perceptual - 144.80994; gen_gan - 0.27616; feature_matching - 6.74741; equivariance_value - 0.51570; equivariance_jacobian - 0.71171; disc_gan - 0.49819
00000030) perceptual - 145.20493; gen_gan - 0.28587; feature_matching - 6.79389; equivariance_value - 0.50680; equivariance_jacobian - 0.70468; disc_gan - 0.51551
00000031) perceptual - 142.81705; gen_gan - 0.27653; feature_matching - 6.76904; equivariance_value - 0.47234; equivariance_jacobian - 0.70063; disc_gan - 0.50276
00000032) perceptual - 138.30551; gen_gan - 0.27316; feature_matching - 6.63492; equivariance_value - 0.46715; equivariance_jacobian - 0.66450; disc_gan - 0.49606
00000033) perceptual - 140.98933; gen_gan - 0.28318; feature_matching - 6.64634; equivariance_value - 0.39415; equivariance_jacobian - 0.64232; disc_gan - 0.50740
00000034) perceptual - 141.03720; gen_gan - 0.27373; feature_matching - 6.56070; equivariance_value - 0.46796; equivariance_jacobian - 0.70225; disc_gan - 0.48970
00000035) perceptual - 138.98627; gen_gan - 0.27986; feature_matching - 6.67301; equivariance_value - 0.45455; equivariance_jacobian - 0.66692; disc_gan - 0.49911
00000036) perceptual - 136.31715; gen_gan - 0.28675; feature_matching - 6.43830; equivariance_value - 0.43536; equivariance_jacobian - 0.67425; disc_gan - 0.51320
00000037) perceptual - 140.41066; gen_gan - 0.28182; feature_matching - 6.82092; equivariance_value - 0.62284; equivariance_jacobian - 0.76772; disc_gan - 0.50317
00000038) perceptual - 137.78738; gen_gan - 0.30779; feature_matching - 6.48388; equivariance_value - 0.66780; equivariance_jacobian - 0.68656; disc_gan - 0.55010
00000039) perceptual - 143.28555; gen_gan - 0.29207; feature_matching - 6.95629; equivariance_value - 0.60564; equivariance_jacobian - 0.71967; disc_gan - 0.51588
