00000099) perceptual - 179.22693; gen_gan - 0.81137; feature_matching - 5.82724; equivariance_value - 1.10062; equivariance_jacobian - 1.04242; disc_gan - 0.90839
00000100) perceptual - 169.46919; gen_gan - 0.74186; feature_matching - 5.56034; equivariance_value - 1.10214; equivariance_jacobian - 1.04142; disc_gan - 0.80418
00000099) perceptual - 179.31474; gen_gan - 0.81304; feature_matching - 5.79635; equivariance_value - 1.10063; equivariance_jacobian - 1.00252; disc_gan - 0.90970
00000100) perceptual - 166.87025; gen_gan - 0.74217; feature_matching - 5.49034; equivariance_value - 1.08608; equivariance_jacobian - 1.01263; disc_gan - 0.80347
00000101) perceptual - 164.14111; gen_gan - 0.70435; feature_matching - 5.42197; equivariance_value - 1.03481; equivariance_jacobian - 1.00131; disc_gan - 0.76115
00000102) perceptual - 161.30724; gen_gan - 0.67191; feature_matching - 5.28823; equivariance_value - 1.02760; equivariance_jacobian - 0.99947; disc_gan - 0.72963
00000103) perceptual - 160.18555; gen_gan - 0.64476; feature_matching - 5.23062; equivariance_value - 1.04252; equivariance_jacobian - 1.01062; disc_gan - 0.70406
00000104) perceptual - 159.88148; gen_gan - 0.61892; feature_matching - 5.21872; equivariance_value - 0.99847; equivariance_jacobian - 0.98500; disc_gan - 0.68261
00000105) perceptual - 155.32452; gen_gan - 0.59633; feature_matching - 5.05223; equivariance_value - 0.94930; equivariance_jacobian - 0.95724; disc_gan - 0.66410
00000106) perceptual - 157.12166; gen_gan - 0.57398; feature_matching - 5.07486; equivariance_value - 0.96984; equivariance_jacobian - 0.94982; disc_gan - 0.64691
00000107) perceptual - 151.75340; gen_gan - 0.55387; feature_matching - 4.90721; equivariance_value - 0.96798; equivariance_jacobian - 0.96000; disc_gan - 0.63254
00000108) perceptual - 150.43192; gen_gan - 0.53724; feature_matching - 4.83994; equivariance_value - 0.93919; equivariance_jacobian - 0.94517; disc_gan - 0.61915
00000109) perceptual - 147.89192; gen_gan - 0.51727; feature_matching - 4.76624; equivariance_value - 0.91278; equivariance_jacobian - 0.93105; disc_gan - 0.60872
00000110) perceptual - 151.19173; gen_gan - 0.50348; feature_matching - 4.89251; equivariance_value - 0.94066; equivariance_jacobian - 0.93199; disc_gan - 0.59851
00000111) perceptual - 149.15808; gen_gan - 0.48904; feature_matching - 4.76702; equivariance_value - 0.92717; equivariance_jacobian - 0.92913; disc_gan - 0.59017
00000112) perceptual - 149.11871; gen_gan - 0.47478; feature_matching - 4.79103; equivariance_value - 0.91030; equivariance_jacobian - 0.94046; disc_gan - 0.57975
00000113) perceptual - 145.48657; gen_gan - 0.46257; feature_matching - 4.60791; equivariance_value - 0.91215; equivariance_jacobian - 0.92472; disc_gan - 0.57194
00000114) perceptual - 146.41025; gen_gan - 0.44786; feature_matching - 4.70121; equivariance_value - 0.91113; equivariance_jacobian - 0.92761; disc_gan - 0.56651
00000115) perceptual - 145.35388; gen_gan - 0.43925; feature_matching - 4.60570; equivariance_value - 0.91673; equivariance_jacobian - 0.92938; disc_gan - 0.55964
00000116) perceptual - 144.50500; gen_gan - 0.42656; feature_matching - 4.53395; equivariance_value - 0.90428; equivariance_jacobian - 0.91452; disc_gan - 0.55433
00000117) perceptual - 144.08632; gen_gan - 0.41794; feature_matching - 4.54924; equivariance_value - 0.90915; equivariance_jacobian - 0.90013; disc_gan - 0.54788
00000118) perceptual - 142.81465; gen_gan - 0.40856; feature_matching - 4.48081; equivariance_value - 0.88240; equivariance_jacobian - 0.90208; disc_gan - 0.54336
00000119) perceptual - 140.39226; gen_gan - 0.40067; feature_matching - 4.37659; equivariance_value - 0.88409; equivariance_jacobian - 0.90278; disc_gan - 0.53962
00000120) perceptual - 143.75285; gen_gan - 0.39214; feature_matching - 4.49723; equivariance_value - 0.87160; equivariance_jacobian - 0.89480; disc_gan - 0.53634
00000121) perceptual - 138.85378; gen_gan - 0.38482; feature_matching - 4.31198; equivariance_value - 0.85825; equivariance_jacobian - 0.88360; disc_gan - 0.53238
00000122) perceptual - 141.02760; gen_gan - 0.37832; feature_matching - 4.39040; equivariance_value - 0.86294; equivariance_jacobian - 0.88545; disc_gan - 0.52626
00000123) perceptual - 142.56873; gen_gan - 0.37114; feature_matching - 4.43842; equivariance_value - 0.85291; equivariance_jacobian - 0.89332; disc_gan - 0.52495
00000124) perceptual - 141.81760; gen_gan - 0.36631; feature_matching - 4.40676; equivariance_value - 0.84555; equivariance_jacobian - 0.86882; disc_gan - 0.52144
00000125) perceptual - 140.63199; gen_gan - 0.36075; feature_matching - 4.35734; equivariance_value - 0.88112; equivariance_jacobian - 0.89424; disc_gan - 0.51864
00000126) perceptual - 141.57004; gen_gan - 0.35501; feature_matching - 4.39261; equivariance_value - 0.82135; equivariance_jacobian - 0.85050; disc_gan - 0.51584
00000127) perceptual - 138.98824; gen_gan - 0.35117; feature_matching - 4.27104; equivariance_value - 0.82457; equivariance_jacobian - 0.86163; disc_gan - 0.51425
00000128) perceptual - 139.92047; gen_gan - 0.34705; feature_matching - 4.28175; equivariance_value - 0.83411; equivariance_jacobian - 0.86964; disc_gan - 0.51194
00000129) perceptual - 142.37917; gen_gan - 0.34332; feature_matching - 4.42504; equivariance_value - 0.84338; equivariance_jacobian - 0.88842; disc_gan - 0.50928
00000130) perceptual - 135.82025; gen_gan - 0.33716; feature_matching - 4.12694; equivariance_value - 0.84095; equivariance_jacobian - 0.88625; disc_gan - 0.50981
00000131) perceptual - 141.03157; gen_gan - 0.33675; feature_matching - 4.35007; equivariance_value - 0.82688; equivariance_jacobian - 0.87789; disc_gan - 0.50579
00000132) perceptual - 137.62483; gen_gan - 0.33231; feature_matching - 4.23805; equivariance_value - 0.82922; equivariance_jacobian - 0.87217; disc_gan - 0.50433
00000133) perceptual - 136.37827; gen_gan - 0.32983; feature_matching - 4.14959; equivariance_value - 0.82107; equivariance_jacobian - 0.86523; disc_gan - 0.50289
00000134) perceptual - 140.12057; gen_gan - 0.32662; feature_matching - 4.30388; equivariance_value - 0.85379; equivariance_jacobian - 0.87102; disc_gan - 0.50109
00000135) perceptual - 136.48080; gen_gan - 0.32485; feature_matching - 4.21565; equivariance_value - 0.78344; equivariance_jacobian - 0.84217; disc_gan - 0.49813
00000136) perceptual - 137.15073; gen_gan - 0.32182; feature_matching - 4.19826; equivariance_value - 0.81659; equivariance_jacobian - 0.87364; disc_gan - 0.49879
