00000099) perceptual - 188.28348; gen_gan - 0.94030; feature_matching - 5.67578; equivariance_value - 0.97120; equivariance_jacobian - 0.95237; disc_gan - 1.15505
00000100) perceptual - 176.25398; gen_gan - 0.91448; feature_matching - 5.07678; equivariance_value - 0.73240; equivariance_jacobian - 0.84019; disc_gan - 1.10436
00000101) perceptual - 177.90965; gen_gan - 0.89382; feature_matching - 5.14131; equivariance_value - 0.73888; equivariance_jacobian - 0.83799; disc_gan - 1.06243
00000102) perceptual - 165.78151; gen_gan - 0.88673; feature_matching - 4.79215; equivariance_value - 0.69818; equivariance_jacobian - 0.79184; disc_gan - 1.03885
00000103) perceptual - 161.14859; gen_gan - 0.87047; feature_matching - 4.44380; equivariance_value - 0.77313; equivariance_jacobian - 0.94406; disc_gan - 1.00912
00000104) perceptual - 165.71089; gen_gan - 0.85755; feature_matching - 4.59043; equivariance_value - 0.63813; equivariance_jacobian - 0.84287; disc_gan - 0.98573
00000105) perceptual - 166.28491; gen_gan - 0.84842; feature_matching - 4.67819; equivariance_value - 0.60606; equivariance_jacobian - 0.90005; disc_gan - 0.96241
00000106) perceptual - 159.72926; gen_gan - 0.84042; feature_matching - 4.37608; equivariance_value - 0.63579; equivariance_jacobian - 0.77516; disc_gan - 0.94280
00000107) perceptual - 161.13025; gen_gan - 0.82445; feature_matching - 4.46048; equivariance_value - 0.73364; equivariance_jacobian - 0.94551; disc_gan - 0.92660
00000108) perceptual - 155.84178; gen_gan - 0.81660; feature_matching - 4.60623; equivariance_value - 0.74851; equivariance_jacobian - 0.89616; disc_gan - 0.91307
00000109) perceptual - 145.56737; gen_gan - 0.81595; feature_matching - 4.43764; equivariance_value - 0.70245; equivariance_jacobian - 0.87740; disc_gan - 0.90650
00000110) perceptual - 168.79355; gen_gan - 0.81124; feature_matching - 4.27662; equivariance_value - 0.63337; equivariance_jacobian - 0.88855; disc_gan - 0.89577
00000111) perceptual - 143.19553; gen_gan - 0.79945; feature_matching - 4.18653; equivariance_value - 0.60469; equivariance_jacobian - 0.78934; disc_gan - 0.88123
00000112) perceptual - 153.17781; gen_gan - 0.80286; feature_matching - 3.98602; equivariance_value - 0.60423; equivariance_jacobian - 0.80185; disc_gan - 0.87468
00000113) perceptual - 143.88606; gen_gan - 0.80198; feature_matching - 4.09491; equivariance_value - 0.62615; equivariance_jacobian - 0.83289; disc_gan - 0.87002
00000114) perceptual - 146.44057; gen_gan - 0.79451; feature_matching - 4.14391; equivariance_value - 0.71608; equivariance_jacobian - 0.88450; disc_gan - 0.86100
00000115) perceptual - 134.94745; gen_gan - 0.79260; feature_matching - 4.03882; equivariance_value - 0.57848; equivariance_jacobian - 0.86294; disc_gan - 0.86237
00000116) perceptual - 154.17990; gen_gan - 0.78510; feature_matching - 4.28801; equivariance_value - 0.60420; equivariance_jacobian - 0.86931; disc_gan - 0.86004
00000117) perceptual - 150.48930; gen_gan - 0.78261; feature_matching - 4.20274; equivariance_value - 0.61348; equivariance_jacobian - 0.87680; disc_gan - 0.85070
00000118) perceptual - 143.20113; gen_gan - 0.78082; feature_matching - 4.22212; equivariance_value - 0.69821; equivariance_jacobian - 0.83826; disc_gan - 0.84613
00000119) perceptual - 147.03192; gen_gan - 0.77428; feature_matching - 4.06215; equivariance_value - 0.62884; equivariance_jacobian - 0.82341; disc_gan - 0.83854
00000120) perceptual - 144.22437; gen_gan - 0.77180; feature_matching - 4.04858; equivariance_value - 0.56304; equivariance_jacobian - 0.78808; disc_gan - 0.83099
00000121) perceptual - 152.24834; gen_gan - 0.76797; feature_matching - 3.96253; equivariance_value - 0.55621; equivariance_jacobian - 0.76691; disc_gan - 0.83032
00000122) perceptual - 136.12122; gen_gan - 0.76768; feature_matching - 4.07126; equivariance_value - 0.67708; equivariance_jacobian - 0.94388; disc_gan - 0.82466
00000123) perceptual - 132.48068; gen_gan - 0.76216; feature_matching - 3.96261; equivariance_value - 0.70789; equivariance_jacobian - 0.95373; disc_gan - 0.82242
00000124) perceptual - 152.94221; gen_gan - 0.76388; feature_matching - 3.89525; equivariance_value - 0.53119; equivariance_jacobian - 0.78102; disc_gan - 0.81058
00000125) perceptual - 142.92899; gen_gan - 0.75569; feature_matching - 3.91934; equivariance_value - 0.60910; equivariance_jacobian - 0.90972; disc_gan - 0.81286
00000126) perceptual - 150.03560; gen_gan - 0.75523; feature_matching - 3.95789; equivariance_value - 0.53625; equivariance_jacobian - 0.74992; disc_gan - 0.81035
00000127) perceptual - 148.23793; gen_gan - 0.74689; feature_matching - 3.99630; equivariance_value - 0.55901; equivariance_jacobian - 0.82182; disc_gan - 0.80050
00000128) perceptual - 141.33104; gen_gan - 0.74997; feature_matching - 3.92423; equivariance_value - 0.51961; equivariance_jacobian - 0.75288; disc_gan - 0.80081
00000129) perceptual - 148.34807; gen_gan - 0.74149; feature_matching - 3.93883; equivariance_value - 0.59023; equivariance_jacobian - 0.85837; disc_gan - 0.80013
00000130) perceptual - 138.69948; gen_gan - 0.73990; feature_matching - 3.58314; equivariance_value - 0.54977; equivariance_jacobian - 0.68047; disc_gan - 0.79097
00000131) perceptual - 138.43871; gen_gan - 0.74186; feature_matching - 3.80232; equivariance_value - 0.61845; equivariance_jacobian - 0.80177; disc_gan - 0.79421
00000132) perceptual - 136.19063; gen_gan - 0.73973; feature_matching - 3.72022; equivariance_value - 0.57532; equivariance_jacobian - 0.79344; disc_gan - 0.78786
00000133) perceptual - 137.90213; gen_gan - 0.73619; feature_matching - 3.78313; equivariance_value - 0.61281; equivariance_jacobian - 0.82401; disc_gan - 0.78743
00000134) perceptual - 136.20688; gen_gan - 0.73082; feature_matching - 3.74240; equivariance_value - 0.51428; equivariance_jacobian - 0.74020; disc_gan - 0.78726
00000135) perceptual - 133.34119; gen_gan - 0.72766; feature_matching - 3.77814; equivariance_value - 0.55279; equivariance_jacobian - 0.76669; disc_gan - 0.78542
00000136) perceptual - 144.26462; gen_gan - 0.73260; feature_matching - 3.68227; equivariance_value - 0.66375; equivariance_jacobian - 0.86526; disc_gan - 0.78310
00000137) perceptual - 130.72972; gen_gan - 0.72548; feature_matching - 3.65335; equivariance_value - 0.64741; equivariance_jacobian - 0.83088; disc_gan - 0.77997
00000138) perceptual - 147.25513; gen_gan - 0.72776; feature_matching - 3.85183; equivariance_value - 0.52028; equivariance_jacobian - 0.79406; disc_gan - 0.77897
00000139) perceptual - 142.12515; gen_gan - 0.71804; feature_matching - 3.73274; equivariance_value - 0.55735; equivariance_jacobian - 0.69290; disc_gan - 0.77475
00000140) perceptual - 140.45366; gen_gan - 0.71992; feature_matching - 3.64000; equivariance_value - 0.52221; equivariance_jacobian - 0.73525; disc_gan - 0.76871
00000141) perceptual - 137.55991; gen_gan - 0.71761; feature_matching - 3.74307; equivariance_value - 0.71391; equivariance_jacobian - 0.94212; disc_gan - 0.76964
00000142) perceptual - 126.74014; gen_gan - 0.71112; feature_matching - 3.56496; equivariance_value - 0.63437; equivariance_jacobian - 0.79631; disc_gan - 0.76626
00000143) perceptual - 140.57610; gen_gan - 0.71466; feature_matching - 3.59745; equivariance_value - 0.57897; equivariance_jacobian - 0.84431; disc_gan - 0.76645
00000144) perceptual - 143.74782; gen_gan - 0.71020; feature_matching - 3.66219; equivariance_value - 0.57643; equivariance_jacobian - 0.86852; disc_gan - 0.75791
00000145) perceptual - 137.54453; gen_gan - 0.71031; feature_matching - 3.66705; equivariance_value - 0.51456; equivariance_jacobian - 0.69796; disc_gan - 0.76565
00000146) perceptual - 134.21655; gen_gan - 0.70358; feature_matching - 3.52132; equivariance_value - 0.56660; equivariance_jacobian - 0.81845; disc_gan - 0.75108
00000147) perceptual - 120.91090; gen_gan - 0.70599; feature_matching - 3.68742; equivariance_value - 0.57613; equivariance_jacobian - 0.65977; disc_gan - 0.76035
00000148) perceptual - 142.63940; gen_gan - 0.70858; feature_matching - 3.66642; equivariance_value - 0.63826; equivariance_jacobian - 0.77592; disc_gan - 0.76202
00000149) perceptual - 137.00368; gen_gan - 0.70048; feature_matching - 3.51000; equivariance_value - 0.49727; equivariance_jacobian - 0.74817; disc_gan - 0.74304
00000150) perceptual - 133.19986; gen_gan - 0.69476; feature_matching - 3.44075; equivariance_value - 0.66777; equivariance_jacobian - 0.93935; disc_gan - 0.74359
00000151) perceptual - 135.25006; gen_gan - 0.69578; feature_matching - 3.67002; equivariance_value - 0.48681; equivariance_jacobian - 0.76259; disc_gan - 0.74669
00000152) perceptual - 141.95122; gen_gan - 0.69831; feature_matching - 3.77727; equivariance_value - 0.62762; equivariance_jacobian - 0.89752; disc_gan - 0.75699
00000153) perceptual - 128.28659; gen_gan - 0.69220; feature_matching - 3.38141; equivariance_value - 0.58141; equivariance_jacobian - 0.75618; disc_gan - 0.74072
00000154) perceptual - 132.32288; gen_gan - 0.69376; feature_matching - 3.54359; equivariance_value - 0.55859; equivariance_jacobian - 0.82388; disc_gan - 0.74527
00000155) perceptual - 125.43401; gen_gan - 0.68811; feature_matching - 3.39421; equivariance_value - 0.54194; equivariance_jacobian - 0.71008; disc_gan - 0.74007
00000156) perceptual - 133.13055; gen_gan - 0.68701; feature_matching - 3.42433; equivariance_value - 0.46559; equivariance_jacobian - 0.78712; disc_gan - 0.73505
00000157) perceptual - 137.92928; gen_gan - 0.68337; feature_matching - 3.49021; equivariance_value - 0.60583; equivariance_jacobian - 0.77355; disc_gan - 0.73076
00000158) perceptual - 135.58372; gen_gan - 0.68502; feature_matching - 3.53628; equivariance_value - 0.76766; equivariance_jacobian - 1.09338; disc_gan - 0.73400
00000159) perceptual - 139.14510; gen_gan - 0.68692; feature_matching - 3.52274; equivariance_value - 0.64727; equivariance_jacobian - 0.85231; disc_gan - 0.73797
00000160) perceptual - 129.86562; gen_gan - 0.67461; feature_matching - 3.42185; equivariance_value - 0.47413; equivariance_jacobian - 0.70125; disc_gan - 0.72338
