00000000) perceptual - 225.30330; gen_gan - 4.79356; feature_matching - 13.10056; equivariance_value - 1.24212; equivariance_jacobian - 0.77681; disc_gan - 8.24673
00000001) perceptual - 189.00435; gen_gan - 1.01893; feature_matching - 9.30355; equivariance_value - 0.97200; equivariance_jacobian - 0.77991; disc_gan - 1.10012
00000002) perceptual - 177.63422; gen_gan - 0.61854; feature_matching - 8.52557; equivariance_value - 0.81753; equivariance_jacobian - 0.72587; disc_gan - 0.71467
00000003) perceptual - 171.83060; gen_gan - 0.43053; feature_matching - 8.28112; equivariance_value - 0.84672; equivariance_jacobian - 0.72500; disc_gan - 0.59611
00000004) perceptual - 173.73856; gen_gan - 0.34384; feature_matching - 8.56568; equivariance_value - 0.83745; equivariance_jacobian - 0.72738; disc_gan - 0.56035
00000005) perceptual - 170.19362; gen_gan - 0.30682; feature_matching - 8.13121; equivariance_value - 0.86825; equivariance_jacobian - 0.77448; disc_gan - 0.54906
00000006) perceptual - 165.95734; gen_gan - 0.29468; feature_matching - 7.96435; equivariance_value - 0.81225; equivariance_jacobian - 0.81572; disc_gan - 0.54457
00000007) perceptual - 164.80484; gen_gan - 0.30898; feature_matching - 7.95217; equivariance_value - 0.92734; equivariance_jacobian - 0.75167; disc_gan - 0.57303
00000008) perceptual - 164.32434; gen_gan - 0.28099; feature_matching - 7.90359; equivariance_value - 0.87566; equivariance_jacobian - 0.90624; disc_gan - 0.53013
00000009) perceptual - 159.18884; gen_gan - 0.27276; feature_matching - 7.69982; equivariance_value - 0.81211; equivariance_jacobian - 0.76588; disc_gan - 0.52114
00000010) perceptual - 156.60522; gen_gan - 0.27259; feature_matching - 7.42357; equivariance_value - 0.78407; equivariance_jacobian - 0.72849; disc_gan - 0.52163
00000011) perceptual - 159.04755; gen_gan - 0.27347; feature_matching - 7.71498; equivariance_value - 0.78240; equivariance_jacobian - 0.71815; disc_gan - 0.51979
00000012) perceptual - 148.48625; gen_gan - 0.27035; feature_matching - 6.86956; equivariance_value - 0.71147; equivariance_jacobian - 0.74561; disc_gan - 0.51394
00000013) perceptual - 156.35548; gen_gan - 0.27008; feature_matching - 7.44314; equivariance_value - 0.72725; equivariance_jacobian - 0.73932; disc_gan - 0.51392
00000014) perceptual - 154.30070; gen_gan - 0.27742; feature_matching - 7.19300; equivariance_value - 0.69684; equivariance_jacobian - 0.78894; disc_gan - 0.52761
00000015) perceptual - 155.52440; gen_gan - 0.27236; feature_matching - 7.38585; equivariance_value - 0.65515; equivariance_jacobian - 0.73423; disc_gan - 0.51055
00000016) perceptual - 152.50294; gen_gan - 0.28917; feature_matching - 7.15683; equivariance_value - 0.69272; equivariance_jacobian - 0.70857; disc_gan - 0.54606
00000017) perceptual - 151.93613; gen_gan - 0.27187; feature_matching - 7.03073; equivariance_value - 0.65498; equivariance_jacobian - 0.71759; disc_gan - 0.51427
00000018) perceptual - 152.89783; gen_gan - 0.26712; feature_matching - 6.88868; equivariance_value - 0.66024; equivariance_jacobian - 0.75688; disc_gan - 0.50645
00000019) perceptual - 148.58690; gen_gan - 0.26788; feature_matching - 6.86344; equivariance_value - 0.65920; equivariance_jacobian - 0.74098; disc_gan - 0.50461
00000020) perceptual - 145.79906; gen_gan - 0.26704; feature_matching - 6.74452; equivariance_value - 0.64236; equivariance_jacobian - 0.69070; disc_gan - 0.50425
00000021) perceptual - 146.65323; gen_gan - 0.28115; feature_matching - 6.74615; equivariance_value - 0.58178; equivariance_jacobian - 0.72430; disc_gan - 0.52735
00000022) perceptual - 145.17136; gen_gan - 0.31872; feature_matching - 6.61583; equivariance_value - 0.60587; equivariance_jacobian - 0.71483; disc_gan - 0.60595
00000023) perceptual - 144.39838; gen_gan - 0.27635; feature_matching - 6.66525; equivariance_value - 0.65329; equivariance_jacobian - 0.74363; disc_gan - 0.51615
00000024) perceptual - 143.11430; gen_gan - 0.26580; feature_matching - 6.67917; equivariance_value - 0.57531; equivariance_jacobian - 0.67326; disc_gan - 0.50165
00000025) perceptual - 146.39447; gen_gan - 0.26868; feature_matching - 6.64250; equivariance_value - 0.60209; equivariance_jacobian - 0.70429; disc_gan - 0.50151
00000026) perceptual - 143.74109; gen_gan - 0.26626; feature_matching - 6.56213; equivariance_value - 0.60148; equivariance_jacobian - 0.71990; disc_gan - 0.49913
00000027) perceptual - 139.37029; gen_gan - 0.26499; feature_matching - 6.26529; equivariance_value - 0.54963; equivariance_jacobian - 0.75958; disc_gan - 0.49729
00000028) perceptual - 138.21771; gen_gan - 0.26864; feature_matching - 6.41198; equivariance_value - 0.56281; equivariance_jacobian - 0.70657; disc_gan - 0.49409
